Product_Name,Original_Price,Discount_Price,Discount_Percentage
Sherine Multi Color Saree With Blouse Piece,899.0,299.0,67
"Sherine Black,Yellow Polka Print Saree (Fabric- Poly Georgette)",1799.0,375.0,79
"Sherine Black,Pink Printed Saree (Fabric- Poly Georgette)",1799.0,375.0,79
"Desh Bidesh Green,Red Bengal cotton Saree",2180.0,884.0,59
Kiran Sarees Purple Art Silk Saree,4999.0,1699.0,66
Sherine Blue Black Printed Saree with Blouse Piece,1376.0,324.0,76
"Desh Bidesh Green,Grey,Red Bengal Handloom Saree",2180.0,884.0,59
Sherine Blue Printed Saree with Blouse Piece,1634.0,349.0,79
Sherine Red Saree with Blouse Piece,1330.0,357.0,73
Rangkruti Blue Banarasi Silk Saree,999.0,849.0,15
Sherine Black Printed Saree with Blouse Piece,1721.0,351.0,80
"A P Super Store Maroon,Black Lycra Saree",2999.0,655.0,78
Sherine Blue Color Block Saree with Blouse Piece,1721.0,399.0,77
Platinum Green Cotton Silk Saree,3599.0,2399.0,33
Sherine Beige Georgette Saree,999.0,319.0,68
Sherine Black Printed Saree (Fabric- Poly Georgette),1799.0,375.0,79
Darshita International Blue and Beige Georgette Saree,2999.0,1015.0,66
Sherine Beige Saree with Blouse Piece,1750.0,369.0,79
SRP Fashion Selection Blue Jacquard Saree,2399.0,1389.0,42
Gazal Fashions Blue Cotton Saree,2000.0,399.0,80
